PostNumber,PostLink,Title,Author,Total_Replies,Total_Weight,Symptom,Treatment,Bodypart
191,https://patient.info//forums/discuss/morning-740991,what can the coronavirus outbreak teach us about bringing mars samples back to earth?,,10,501.1904762,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", None, None, None]","[None, None, None, 'stop medication', None, None]",[None]
192,https://patient.info//forums/discuss/still-having-symptoms-of-covid-after-3-months--740950,poll: wfh during covid-19 precautions,,6,301.1627907,"['Exanthema', 'Chest tightness', None, None, None]","[None, None, 'Modest-Temperature Hyperthermia', 'bleomycin/methotrexate/vincristine protocol', None]",[None]
193,https://patient.info//forums/discuss/what-has-helped-longtermers-reports-of-what-has-helped-for-people-with-symptoms-10-weeks-740302,poll:is your local government and medical system ready to handle covid-19?,,14,701.1363636,"['Lung Diseases, Obstructive', 'Disease', 'Fatigue', 'Headache', 'Exhaustion', None, None, None]","[None, None, None, None, None, 'Incision and drainage', 'Exercise Pain Management', None]",[None]
194,https://patient.info//forums/discuss/general-740567,"coronavirus outbreak officially declared a pandemic, who says",,10,501.1111111,"['Gonorrhea', 'Geroderma osteodysplastica', 'Palmar-plantar erythrodysesthesia syndrome', None]","[None, None, None, 'Modest-Temperature Hyperthermia']",[None]
195,https://patient.info//forums/discuss/could-these-symptoms-be-a-sign-of-covid19--739711,is the coronavirus more dangerous than the flu?,,4,201.0869565,"['Temporohyoid osteoarthropathy', 'Henoch-Schoenlein Purpura', 'Pharyngitis', 'Exanthema', 'Hypotrichosis simplex', 'Tired', 'Fatigue', 'Sore Throat', 'Headache', 'Coughing', None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Trans-hiatal esophagectomy', 'Isolation procedure', 'Discussion (procedure)', None]",[None]
196,https://patient.info//forums/discuss/score-for-week-740001,cruise ship with apparent coronavirus outbreak is held offshore near san francisco,,16,801.0638298,"['Gonorrhea', 'Geroderma osteodysplastica', None]","[None, None, None]",[None]
197,https://patient.info//forums/discuss/scared-about-getting-reinfected-739875,what exactly is the coronavirus?,,4,201.0416667,"['Gonorrhea', 'Geroderma osteodysplastica', None]","[None, None, 'Modest-Temperature Hyperthermia']",[None]
198,https://patient.info//forums/discuss/covid-hub-739630,coronavirus outbreak: live updates,,6,301.0204082,"['Gonorrhea', 'Geroderma osteodysplastica', 'Burning sensation', None]","[None, None, None, None]",[None]
199,https://patient.info//forums/discuss/we-are-creating-anxiety-disorders-for-ourselves-738295,should schools close for coronavirus?,,10,501,"['Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'Malignant hyperpyrexia due to anesthesia', 'Influenza', 'Infectious Mononucleosis', 'Asthma', 'Testicular regression syndrome', 'physical disorders', 'physical symptom', 'Tired', 'Chest tightness', 'Fatigue', 'Malaise', 'Burning sensation', 'Myalgia', 'Coughing', 'Back Pain', None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol', 'Therapeutic procedure', 'Osteogenesis, Distraction', None, None, None, None, None]",[None]
200,https://patient.info//forums/discuss/preventing-spread-of-infection-in-the-home-739509,a us coronavirus outbreak is almost inevitable. here's how you can prepare.,,8,400.9803922,"[None, None, None]","['Quarantine', 'Therapeutic tactile stimulation', None]",[None]
201,https://patient.info//forums/discuss/insomnia-anyone--739383,"9,000 cases of coronavirus in the us could stem from wuhan alone",,4,200.9615385,"['Gonorrhea', 'Geroderma osteodysplastica', 'Lung Problem', 'Recurrent disease', 'Chest Pain', 'Tired', 'Abnormal breathing', 'Has tingling sensation', 'Sleeplessness', 'Nervousness', 'Exhaustion', None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage', None, None, None, None, None]",[None]
202,https://patient.info//forums/discuss/tingling-in-my-hands-and-cheeks-with-a-sore-throat-and-red-dots-on-roof-of-mouth-and-sores-on-cheeks-739597,coronavirus does not affect kids!,,24,1200.943396,"['Gray Platelet Syndrome', 'Coughing', None, None]","[None, None, 'Transjugular intrahepatic portosystemic shunt procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
203,https://patient.info//forums/discuss/gi-symptoms-739411,coronavirus outbreak: live ups,,2,100.9259259,"['Sexually Transmitted Diseases', 'Gastroesophageal reflux disease', 'CONOTRUNCAL ANOMALY FACE SYNDROME', 'Stomach ache', 'Diarrhea', 'Nausea', None]","[None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
204,https://patient.info//forums/discuss/explanation-and-reassurance-from-my-doctor-739337,coronavirus questions for our facebook livestream? ask them here!,,6,300.9090909,"['Gonorrhea', 'Geroderma osteodysplastica', 'Mandibuloacral dysostosis', 'Reflex Sympathetic Dystrophy', 'Coronavirus Infections', 'Dyspnea', None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Excision of axillary lymph nodes', 'bleomycin/methotrexate/vincristine protocol', 'Etoposide/Ifosfamide/Mesna/Mitoxantrone', None, None, None, None, None, None, None]",[None]
205,https://patient.info//forums/discuss/clifftop-739256,"us isn't 'remotely prepared' to test for coronavirus, experts say",,14,700.8928571,"['Gonorrhea', 'Geroderma osteodysplastica', 'Subacute thyroiditis', 'Pelvic Organ Prolapse', 'Pain, Postoperative', None, None, None]","[None, None, None, None, None, 'Induced abortion (procedure)', 'Osteogenesis, Distraction', None]",[None]
206,https://patient.info//forums/discuss/4-weeks-on-and-still-having-new-symptoms-739204,why prepare for coronavirus to strike the us? it's your civic duty.,,8,400.877193,"['Gonorrhea', 'Geroderma osteodysplastica', 'Heart Diseases', 'Asthma', 'Recurrent disease', 'slight fever', 'Overweight', 'Burning sensation', 'Myalgia', 'Headache', None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, 'Active cooling of patient', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None, None, None, None, None]",[None]
207,https://patient.info//forums/discuss/covid-19-rash-and-weird-stomach-8-weeks-after-testing-positive-737861,3 coronavirus cases identified in long-term care facility in washington,,4,200.862069,"['Gonorrhea', 'Geroderma osteodysplastica', 'Viral exanthem', 'Exanthema', 'Pharyngitis', ""Little's Disease"", 'Herpes Labialis', 'Common Cold', 'Influenza', 'Reflex Sympathetic Dystrophy', 'Pityriasis Rosea', 'Recurrent disease', 'Diarrhea', 'Sore Throat', 'Pruritus', 'Feeling feverish', 'Coughing', 'Asthenia', 'Upper back pain', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Induced abortion (procedure)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Excision of axillary lymph nodes', 'bleomycin/methotrexate/vincristine protocol', 'Isolation procedure', 'Etoposide/Ifosfamide/Mesna/Mitoxantrone', 'Osteogenesis, Distraction', 'Cardiac Lead Procedure', None, None, None, None, None, None, None, None, None, None]",[None]
208,https://patient.info//forums/discuss/advice-guidance-regarding-91-year-old-parents-and-visitors-738724,coronavirus resources: us state and local health departments,,2,100.8474576,"['Gonorrhea', 'Geroderma osteodysplastica', 'Vaccinia', 'Palmar-plantar erythrodysesthesia syndrome', ""Little's Disease"", 'Influenza', 'Lung Diseases, Obstructive', 'Cancer-Associated Retinopathy', 'PREMATURE CHROMATID SEPARATION TRAIT', 'Acute gastroenteritis', 'Asthenia', None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, 'nursing therapy', 'Vacuum-Assisted Closure', 'CHAP protocol', 'Thromboendarterectomy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Arthroplasty, Replacement, Elbow', 'Division (surgical procedure)']",[None]
209,https://patient.info//forums/discuss/is-it-covid-help-738732,trump announces pence will be 'coronavirus czar',,2,100.8333333,"['Gonorrhea', 'Geroderma osteodysplastica', 'Chronic disease', 'Neck Pain', 'Suffocated', 'Fatigue', 'Slow respiration', 'Coughing', 'Dyspnea', None, None]","[None, None, None, None, None, None, None, None, None, 'Calming', None]",[None]
210,https://patient.info//forums/discuss/jim-res-738761,"it's still too soon to call coronavirus outbreak a pandemic, who says",,2,100.8196721,"[None, None]","['cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Therapeutic procedure']",[None]
211,https://patient.info//forums/discuss/ages-738676,"coronavirus quarantine ends for some cruise ship passengers, sparking worries over virus spread",,2,100.8064516,"['Temporohyoid osteoarthropathy', 'Gonorrhea', 'Geroderma osteodysplastica', 'Coronary Occlusion', 'Cheiro-oral syndrome', 'Mandibuloacral dysostosis', 'Asthma', 'Acute gastroenteritis', 'Gray Platelet Syndrome', 'Seizures', 'Overweight', None, None]","[None, None, None, None, None, None, None, None, None, None, None, 'Trans-hiatal esophagectomy', 'Exercise Pain Management']",[None]
212,https://patient.info//forums/discuss/can-a-deviated-septum-affect-accuracy-of-covid-19-nasal-test--738634,blood from cured coronavirus patients could help treat infection,,2,100.7936508,"[None, None]","[None, None]",[None]
213,https://patient.info//forums/discuss/walking-738603,coronavirus cruise ship nightmare: are quarantines the right answer?,,2,100.78125,"['Pneumonia', 'Ache', 'out (of) breath', None, None, None, None]","[None, None, None, 'Modest-Temperature Hyperthermia', 'Deep breathing exercises', 'Induced abortion (procedure)', None]",[None]
214,https://patient.info//forums/discuss/treatment-suggestion-that-s-worked-for-me-for-20-years-for-the-flu--736590,can the new coronavirus spread through building pipes?,,8,400.7692308,"['Pneumonia', 'Common Cold', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Lung diseases', 'Gonorrhea', 'Geroderma osteodysplastica', 'flu symptoms', 'Sexually Transmitted Diseases', 'Acute lower respiratory tract infection', 'Lung Problem', 'Reflex Sympathetic Dystrophy', 'AICARDI-GOUTIERES SYNDROME 1', 'Anosmia', 'Congestion of throat', 'Headache', 'Coughing', 'Asthenia', 'Pain', 'Sharp pain', 'Breathing abnormally deep', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Influenza vaccination', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Excision of axillary lymph nodes', 'Therapeutic procedure', 'Cardiac Lead Procedure', None, None, None, None, None, None, None, None, None, None]",[None]
215,https://patient.info//forums/discuss/covid-19-for-8-weeks-gastric-issues-high-heart-rate-short-of-breath--735966,28 devastating infectious diseases,,2,100.7575758,"[""Tietze's Syndrome"", 'Cerebrovascular accident', 'Communicable Diseases', 'Pelvic Organ Prolapse', 'Hamman-Rich syndrome', 'Pleurisy', 'Dehydration', 'Hepatorenal Syndrome', 'Acute gastroenteritis', 'Coronavirus Infections', 'Geroderma osteodysplastica', 'Anorexia', 'Severe Acute Respiratory Syndrome', 'Myocardial Infarction', 'Mandibuloacral dysostosis', 'Asthma', 'Reflex Sympathetic Dystrophy', 'Myopia', 'Basilar-Type Migraine', 'Gray Platelet Syndrome', 'Pulmonary Embolism', 'Gastroesophageal reflux disease', 'Pharyngitis', 'Common Cold', 'Influenza', 'Pemphigus and fogo selvagem', 'Testicular regression syndrome', 'Gonorrhea', ""Little's Disease"", 'Sleep Apnea Syndromes', 'Infantile neuronal ceroid lipofuscinosis', 'Viral myocarditis', 'Disease', 'Diarrhea', 'Temporal headache', 'Signs and Symptoms', 'side pain', 'Paresthesia of hand', 'Abdominal Pain', 'Dyspepsia', 'CHEST BURNING PAIN OF', 'Fatigue', 'tingling in fingers', 'Burning sensation', 'Headache', 'Flushing', 'Pain', 'Chest pressure', 'Numbness', 'Stomach ache', 'Coughing', 'Asthenia', 'Sharp pain', 'Night sweats', 'Muscle twitch', 'Heartburn acidity', 'Numbness of face', 'Heartburn', 'Chest Pain', 'dyspnea acute', 'BODY PAIN', 'Tired', 'Throat symptom', 'Back Pain', 'Tremor', 'Nervousness', 'Pain, Postoperative', 'Chest tightness', 'Hyperemesis Gravidarum', 'Dizziness', 'Sore Throat', 'Rales', 'Dry cough', 'Pain, Burning', 'CHEST PAIN, SHARP', 'Sore to touch', 'Dyspnea', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Treated with', 'Acupressure', 'Incision and drainage', 'Excision of axillary lymph nodes', 'Etoposide/Ifosfamide/Mesna/Mitoxantrone', 'Life support procedure', 'Osteogenesis, Distraction', 'Hormone replacement therapy', 'Modest-Temperature Hyperthermia', 'Surgical repair', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'HAC protocol', 'Exercise Pain Management', 'Therapeutic procedure', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[None]
216,https://patient.info//forums/discuss/alcohol-intolerance-following-covid--738390,coronavirus vaccine still months out. here's why.,,16,800.7462687,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Hay fever', 'Pharyngitis', 'Urticaria Pigmentosa', 'Rhinorrhea', 'Chest tightness', 'Nausea', 'Fatigue', 'Flare', 'Sore Throat', 'Coughing', 'Chills', None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Surgical repair', 'Electroconvulsive Therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Detoxification procedure', None, None, None]",[None]
217,https://patient.info//forums/discuss/after-8-weeks-of-covid-should-drs-be-referring-you-for-tests--738319,facebook live event - coronavirus q&a hosted by live science staff,,6,300.7352941,"['Duane Retraction Syndrome', 'Diabetic Retinopathy', 'Upper back pain', None, None, None, None, None]","[None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Osteogenesis, Distraction', None, None, None]",[None]
218,https://patient.info//forums/discuss/am-i-still-contagious--737673,"new coronavirus can spread before symptoms start, german case suggests",,4,200.7246377,"['Chronic articular rheumatism', None, None]","[None, 'Modest-Temperature Hyperthermia', 'Electroconvulsive Therapy']",[None]
219,https://patient.info//forums/discuss/tonic-water-737628,"coronavirus outbreak is 'public health emergency of international concern,' who declares",,2,100.7142857,"['Malaria', None, None, None, None, None]","[None, 'Venom immunotherapy', 'Thromboendarterectomy', 'Prophylactic treatment', 'Arthroplasty, Replacement, Elbow', 'Therapeutic procedure']",[None]
220,https://patient.info//forums/discuss/covid-19-test-or-not-to-test-737570,is the coronavirus outbreak as bad as sars?,,2,100.7042254,"['Gonorrhea', 'Geroderma osteodysplastica', 'Anosmia', 'Chest Pain', 'Tired', 'Coughing', 'Sore to touch', 'Dyspnea', None, None]","[None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None]",[None]
221,https://patient.info//forums/discuss/chest-tight-and-feeling-wierd-737553,coronavirus screening expands to 20 us airports; researchers start work on a new vaccine,,8,400.6944444,"['Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'AICARDI-GOUTIERES SYNDROME 1', 'Chest Pain', 'Coughing', 'Pain', None, None, None, None, None, None]","[None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol', None, None, None, None]",[None]
222,https://patient.info//forums/discuss/do-i-need-to-worry-about-covid-19--737393,mysterious respiratory illness has sickened dozens in china,,6,300.6849315,"['Gonorrhea', 'Geroderma osteodysplastica', 'Goldberg-Shprintzen megacolon syndrome', ""Little's Disease"", 'Coronavirus Infections', 'BODY PAIN', 'Nausea', 'Feels hot', 'Feeling feverish', 'Headache', 'Lightheadedness', 'Chills', None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, 'Local anesthetic thoracic epidural block', 'Therapeutic tactile stimulation', 'Thromboendarterectomy', 'Toilet procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
223,https://patient.info//forums/discuss/worries-about-catching-coronavirus-at-doctor-s-office-lab-advice--736539,covid-19: evaluating the risk,/personal_pages/user/20906447,6,350,"['Sinusitis', 'Kidney Failure', 'Critical Illness', 'Premenstrual syndrome', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Cancer-Associated Retinopathy', 'Chronic disease', 'Upper Respiratory Infections', 'Pyotraumatic dermatitis', 'Acute gastroenteritis', 'Congenital Thrombotic Thrombocytopenic Purpura', 'Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', ""Little's Disease"", 'Asthma', 'Gray Platelet Syndrome', 'Disease', 'Premenopausal symptoms', 'slight fever', 'Coughing', 'Flushing', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Single Embryo Transfer', 'Incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Primary operation', 'Back exercises', 'Toilet procedure', 'bleomycin/methotrexate/vincristine protocol', 'Etoposide/Ifosfamide/Mesna/Mitoxantrone', 'Osteogenesis, Distraction', 'Urgent Procedure', None, None, None, None]",[None]
224,https://patient.info//forums/discuss/son-returns-to-our-apt-from-vacation-any-docs-have-advice--737094,loss of smell and taste?,/personal_pages/user/20853936,6,325,"['Lung Diseases, Obstructive', None, None, None, None, None]","[None, 'Modest-Temperature Hyperthermia', 'Quarantine', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
225,https://patient.info//forums/discuss/could-it-be-covid-19--735871,igm and igg antibody test for covid,/personal_pages/user/20853936,2,116.6666667,"['Gonorrhea', 'Geroderma osteodysplastica', 'Anorexia', 'Sleep Starts', 'Common Cold', 'Influenza', 'Polyglandular Type I Autoimmune Syndrome', 'Streptococcal Infections', 'Actual Inability To Taste', 'Ache', 'BODY PAIN', 'Fatigue', 'Headache', 'Pain', 'Muscle Cramp', 'Night sweats', 'Fatigue - symptom', 'Chills', None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Trans-hiatal esophagectomy', 'bleomycin/methotrexate/vincristine protocol', None, None, None]",[None]
226,https://patient.info//forums/discuss/returning-to-school-737103,how to know if its cold /flu vs corona??,/personal_pages/user/20845021,6,312.5,"['Gonorrhea', 'Geroderma osteodysplastica', None, None]","[None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None]",[None]
227,https://patient.info//forums/discuss/relapse-after-return-to-work-737066,mouthwash research,/user_profiles/show/20853936,5,260,"['Pelvic Organ Prolapse', 'Lung Diseases, Obstructive', 'Reflex Sympathetic Dystrophy', 'Disease', 'Tired', 'Pain, Postoperative', 'Abnormal breathing', 'Coughing', None, None, None, None]","[None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Excision of axillary lymph nodes', 'Breathing control (regime/therapy)', None]",[None]
228,https://patient.info//forums/discuss/hospital-again-737079,how are diseases spread?,/personal_pages/user/20905035,4,208.3333333,"['Gonorrhea', 'Geroderma osteodysplastica', 'flu symptoms', ""Little's Disease"", 'Coughing', None]","[None, None, None, None, None, None]",[None]
229,https://patient.info//forums/discuss/anyone-who-have-had-covid-19-struggle-to-sleep--736963,gum disease linked to higher death rate with covid 19,/personal_pages/user/20620809,1,57.14285714,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Dyssomnias', 'cold symptoms', 'symptoms, signs, and ill-defined conditions', 'Fatigue']","[None, None, None, None, None, None, None]",['Fatigue']
230,https://patient.info//forums/discuss/out-to-park-today-736888,quarantine time for covid19,/personal_pages/user/20905976,7,356.25,"['Temporohyoid osteoarthropathy', 'Reflex Sympathetic Dystrophy', None, None, None, None, None]","[None, None, 'Trans-hiatal esophagectomy', 'Excision of axillary lymph nodes', None, None, None]",[None]
231,https://patient.info//forums/discuss/hi-all-736871,gout drug colchicine in covid trial will publish results this week,/personal_pages/user/19040740,2,105.5555556,"['Chills', None]","[None, None]",[None]
232,https://patient.info//forums/discuss/encouragement-please--736770,antibodies test offered by local pharmacy (assure) shows mixed results,/user_profiles/show/20853936,2,105,"['Gonorrhea', 'Geroderma osteodysplastica', 'Chest Pain', 'Coughing', 'Pain', 'Back Pain', None, None, None]","[None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
233,https://patient.info//forums/discuss/handle-hygiene-736749,can immune dysfunction after covid lead to immunodifiency?,/personal_pages/user/20905493,2,104.5454545,"['Influenza', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', None, None, None, None, None]","[None, None, 'Disinfection', None, None, None, None]",[None]
234,https://patient.info//forums/discuss/throat-736345,2 second with other person no mask/i had double mask,/personal_pages/user/20905233,5,254.1666667,"['Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'Pelvic Organ Prolapse', 'Pharyngitis', ""Little's Disease"", 'Common Cold', 'Pain, Postoperative', 'Posterior rhinorrhea', 'Sore Throat', 'Coughing', 'Sore to touch', None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, 'saline gargle', None, None]",[None]
235,https://patient.info//forums/discuss/post-coronavirus-fatigue-or-something-worse--736431,if we properly protect ourselves from covid 19 can we still catch the common cold?,/personal_pages/user/16760892,6,303.8461538,"['Sinusitis', 'Chronic Fatigue Syndrome', 'Communicable Diseases', 'Pharyngitis', 'Influenza', 'post viral fatigue', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Wolf-Hirschhorn Syndrome', 'Streptococcal Infections', 'Coronavirus Infections', 'Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'Sexually Transmitted Diseases', ""Little's Disease"", 'Rhinorrhea', 'Ache', 'Tired', 'Upset stomach', 'Nausea', 'Fatigue', 'Sore Throat', 'Dry cough', 'Coughing', 'Muscle twitch', 'Exhaustion', None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage', 'Exercise Pain Management', 'Cardiac Lead Procedure', None, None, None]",[None]
236,https://patient.info//forums/discuss/blood-types-736534,when to take rapid test,/personal_pages/user/20904471,4,203.5714286,"['Coronavirus Infections', None, None]","[None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None]",[None]
237,https://patient.info//forums/discuss/is-it-ever-going-to-just-end-and-be-gone-736371,corona change my body,/personal_pages/user/20904295,2,103.3333333,"['Fish-Eye Disease', 'Pneumonia', 'Influenza', 'Acute gastroenteritis', 'Bacterial Infections', 'Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Pneumonia, Viral', 'Lung Diseases, Obstructive', 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive', 'Lower respiratory tract infection', 'Dry cough', 'Coughing', 'Breathing abnormally deep', None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Single Embryo Transfer', 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'HAC protocol', None, None, None, None, None, None, None]",[None]
238,https://patient.info//forums/discuss/i-wish-this-would-end-736457,covid again - can't believe this,/personal_pages/user/20904214,5,253.125,"['Epstein', 'Chronic Fatigue Syndrome', 'Autoimmune Diseases', 'Hepatitis', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Simian Acquired Immunodeficiency Syndrome', 'Malaise', None]","[None, None, None, None, None, None, None, None]",[None]
239,https://patient.info//forums/discuss/covid-19-asymptomatic-736143,interview with pfizer ceo,/personal_pages/user/19040740,10,502.9411765,"['Cancer-Associated Retinopathy', 'Megaloblastic anemia due to inborn errors of metabolism', 'Coughing', 'Sympathetically independent pain', None, None, None, None, None, None]","[None, None, None, None, 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None, None, None]",[None]
240,https://patient.info//forums/discuss/is-it-possible--734653,need help understanding why i got a negative covid test,/personal_pages/user/20864967,6,302.7777778,"['Sinusitis', 'Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'Common Cold', 'Influenza', 'Papillon-Lefevre Disease', 'Deglutition Disorders', 'Streptococcal sore throat', 'Simian Acquired Immunodeficiency Syndrome', 'Streptococcal Infections', 'Chest Pain', 'Ache', 'Tired', 'Chest tightness', 'Posterior rhinorrhea', 'Fatigue', 'Xerostomia', 'Dry cough', 'Headache', 'Coughing', 'Pain', 'Dyspnea', None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Renal dialysis']",[None]
241,https://patient.info//forums/discuss/coronavirus-post-fatigue-and-trouble-sleeping--735770,symptoms of covid usually follow a specific order,/personal_pages/user/973741,2,102.6315789,"['Chronic Fatigue Syndrome', 'Communicable Diseases', 'Pharyngitis', 'Dyssomnias', 'Common Cold', 'Vitamin D Deficiency', 'post viral fatigue', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Infectious Mononucleosis', 'Wolf-Hirschhorn Syndrome', 'Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Confluent and Reticulate Papillomatosis', 'C/O - postviral syndrome', 'Wiskott-Aldrich Syndrome', 'Lower respiratory tract infection', 'Rhinorrhea', 'Tired', 'Fatigue', 'Sore Throat', 'Dry cough', 'Coughing', 'Asthenia', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Bath, in bed', 'Meditation Therapy', 'Yoga', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Breathing Exercises', 'cyclophosphamide/methotrexate/prednisone/vincristine protocol', 'Incision and drainage', 'Trans-hiatal esophagectomy', 'Exercise Pain Management', 'Cardiac Lead Procedure', None, None, None, None]",[None]
242,https://patient.info//forums/discuss/how-to-fight-corona-735090,should we feel safe around our family at christmas?,/personal_pages/user/503392,2,102.5,"['Sexually Transmitted Diseases', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Coronavirus Infections', None, None, None, None, None, None]","[None, None, None, None, 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Exercise Pain Management', None, None, None]",[None]
